# x l P_ref P_forward P_backward_exp abs_err_forward rel_err_forward abs_err_backward rel_err_backward
0.1 16 -1.626803347102236e-02 -1.626803347102238e-02 -7.859834292136779e-01 2.428612866367530e-17 1.492874274382044e-15 7.697153957426556e-01 4.731459380838631e+01
0.1 17 1.879844566994935e-01 1.879844566994935e-01 9.918992919792147e-02 0.000000000000000e+00 0.000000000000000e+00 8.879452750157202e-02 4.723503690707598e-01
0.1 18 5.191678708086707e-02 5.191678708086710e-02 7.616046138236251e-01 2.775557561562891e-17 5.346165888963051e-16 7.096878267427580e-01 1.366971776657381e+01
0.1 19 -1.679804267574566e-01 -1.679804267574566e-01 5.434307082025403e-02 0.000000000000000e+00 0.000000000000000e+00 2.223234975777106e-01 1.323508350759930e+00
0.1 20 -8.207713094452775e-02 -8.207713094452777e-02 -7.129274843224943e-01 2.775557561562891e-17 3.381645446937913e-16 6.308503533779666e-01 7.686067313979701e+00
0.1 21 1.439567761084080e-01 1.439567761084080e-01 -1.909459096251099e-01 0.000000000000000e+00 0.000000000000000e+00 3.349026857335179e-01 2.326411404776920e+00
0.1 22 1.064833585046017e-01 1.064833585046017e-01 6.432004436083822e-01 0.000000000000000e+00 0.000000000000000e+00 5.367170851037806e-01 5.040384644522518e+00
0.1 23 -1.168640852658377e-01 -1.168640852658377e-01 3.084874786082669e-01 0.000000000000000e+00 0.000000000000000e+00 4.253515638741047e-01 3.639711575258832e+00
0.1 24 -1.249324352648032e-01 -1.249324352648032e-01 -5.559882938972474e-01 1.387778780781446e-17 1.110823444560214e-16 4.310558586324442e-01 3.450311824297595e+00
0.1 25 8.770276454330279e-02 8.770276454330279e-02 -4.051216850677968e-01 0.000000000000000e+00 0.000000000000000e+00 4.928244496110996e-01 5.619257866925848e+00
0.1 26 1.373305761842663e-01 1.373305761842663e-01 4.551379520609778e-01 0.000000000000000e+00 0.000000000000000e+00 3.178073758767115e-01 2.314177837936735e+00
0.1 27 -5.749703053145412e-02 -5.749703053145413e-02 4.794590725068851e-01 6.938893903907228e-18 1.206826481258239e-16 5.369561030383392e-01 9.338849294914350e+00
0.1 28 -1.437199723177924e-01 -1.437199723177924e-01 -3.447035645306619e-01 0.000000000000000e+00 0.000000000000000e+00 2.009835922128695e-01 1.398438845844308e+00
0.1 29 2.726596595411375e-02 2.726596595411376e-02 -5.306780809661226e-01 1.040834085586084e-17 3.817338022565266e-16 5.579440469202364e-01 2.046302147736881e+01
0.1 30 1.442916132115084e-01 1.442916132115084e-01 2.288467564563024e-01 0.000000000000000e+00 0.000000000000000e+00 8.455514324479405e-02 5.860017873724218e-01
0.1 31 2.006447160218991e-03 2.006447160218977e-03 5.585905691408748e-01 1.387778780781446e-17 6.916597697145329e-15 5.565841219806558e-01 2.773978468089377e+02
0.1 32 -1.393874810139806e-01 -1.393874810139806e-01 -1.117227770174332e-01 0.000000000000000e+00 0.000000000000000e+00 2.766470399654739e-02 1.984733764847404e-01
0.1 33 -2.940075562781460e-02 -2.940075562781458e-02 -5.636695837309487e-01 1.734723475976807e-17 5.900268339823454e-16 5.342688281031340e-01 1.817194207068912e+01
0.1 34 1.294941709045589e-01 1.294941709045589e-01 -2.639252041825305e-03 0.000000000000000e+00 0.000000000000000e+00 1.321334229463842e-01 1.020381242054289e+00
0.1 35 5.408958487391865e-02 5.408958487391863e-02 5.470444287932476e-01 2.081668171172169e-17 3.848556382942262e-16 4.929548439193289e-01 9.113674010780324e+00
0.1 36 -1.152294424737427e-01 -1.152294424737428e-01 1.104552573859984e-01 1.387778780781446e-17 1.204361273463315e-16 2.256846998597412e-01 1.958568010178195e+00
0.1 37 -7.536216177079441e-02 -7.536216177079440e-02 -5.104669204767330e-01 1.387778780781446e-17 1.841479527885917e-16 4.351047587059386e-01 5.773517485197162e+00
0.1 38 9.732297784861904e-02 9.732297784861905e-02 -2.082985901804589e-01 1.387778780781446e-17 1.425951827059860e-16 3.056215680290780e-01 3.140281717483582e+00
0.1 39 9.264484812114242e-02 9.264484812114240e-02 4.562524059929826e-01 1.387778780781446e-17 1.497955697403471e-16 3.636075578718401e-01 3.924746656137715e+00
0.1 40 -7.659254589847793e-02 -7.659254589847794e-02 2.932009756095615e-01 1.387778780781446e-17 1.811897965398515e-16 3.697935215080395e-01 4.828061493062187e+00
0.1 41 -1.055169157713017e-01 -1.055169157713016e-01 -3.871992277385818e-01 2.775557561562891e-17 2.630438485880937e-16 2.816823119672801e-01 2.669546488430357e+00
0.1 42 5.391676145085218e-02 5.391676145085219e-02 -3.627379426243393e-01 1.387778780781446e-17 2.573928298802730e-16 4.166547040751915e-01 7.727739813434327e+00
0.1 43 1.137209984820212e-01 1.137209984820212e-01 3.064905826212453e-01 1.387778780781446e-17 1.220336436811049e-16 1.927695841392241e-01 1.695109845256064e+00
0.1 44 -3.020563762711497e-02 -3.020563762711499e-02 4.150954454920779e-01 2.081668171172169e-17 6.891654454940221e-16 4.453010831191929e-01 1.474231693488422e+01
0.1 45 -1.171678690686724e-01 -1.171678690686724e-01 -2.175830260101179e-01 1.387778780781446e-17 1.184436306482680e-16 1.004151569414455e-01 8.570195714884247e-01
0.1 46 6.370132275983799e-03 6.370132275983820e-03 -4.491152300833821e-01 2.081668171172169e-17 3.267857056941062e-15 4.554853623593659e-01 7.150328166286329e+01
0.1 47 1.159354086665017e-01 1.159354086665017e-01 1.240861182274461e-01 1.387778780781446e-17 1.197027548998005e-16 8.150709560944408e-03 7.030388433261692e-02
0.1 48 1.670812844501099e-02 1.670812844501097e-02 4.643173736891604e-01 2.428612866367530e-17 1.453551709493057e-15 4.476092452441494e-01 2.678990927782845e+01
0.1 49 -1.102618524505199e-01 -1.102618524505199e-01 -2.963786020678687e-02 1.387778780781446e-17 1.258620955424464e-16 8.062399224373303e-02 7.312047680308392e-01
0.1 50 -3.820581266131371e-02 -3.820581266131368e-02 -4.608993225363210e-01 2.775557561562891e-17 7.264752057933201e-16 4.226935098750073e-01 1.106359164826813e+01


0.5 0 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
0.5 1 5.000000000000000e-01 5.000000000000000e-01 -7.378883785870424e+00 0.000000000000000e+00 0.000000000000000e+00 7.878883785870424e+00 1.575776757174085e+01
